,date,region,sales
213,12-02-2019,south,1608
214,12-02-2019,east,1752
215,12-02-2019,west,1734
216,19-02-2019,north,1716
217,19-02-2019,south,1599
218,19-02-2019,east,1596
219,19-02-2019,west,1644
220,26-02-2019,north,1566
221,26-02-2019,south,1653
222,26-02-2019,east,1506
223,26-02-2019,west,1656
224,05-03-2019,north,1566
225,05-03-2019,south,1569
226,05-03-2019,east,1743
227,05-03-2019,west,1557
228,12-03-2019,north,1518
229,12-03-2019,south,1581
230,12-03-2019,east,1626
231,12-03-2019,west,1668
232,19-03-2019,north,1677
233,19-03-2019,south,1752
234,19-03-2019,east,1635
235,19-03-2019,west,1605
236,26-03-2019,north,1701
237,26-03-2019,south,1782
238,26-03-2019,east,1797
239,26-03-2019,west,1557
240,02-04-2019,north,1623
241,02-04-2019,south,1791
242,02-04-2019,east,1785
243,02-04-2019,west,1629
244,09-04-2019,north,1728
245,09-04-2019,south,1719
246,09-04-2019,east,1755
247,09-04-2019,west,1617
248,16-04-2019,north,1596
249,16-04-2019,south,1668
250,16-04-2019,east,1584
251,16-04-2019,west,1713
252,23-04-2019,north,1668
253,23-04-2019,south,1674
254,23-04-2019,east,1728
255,23-04-2019,west,1518
256,30-04-2019,north,1719
257,30-04-2019,south,1767
258,30-04-2019,east,1500
259,30-04-2019,west,1623
260,07-05-2019,north,1650
261,07-05-2019,south,1695
262,07-05-2019,east,1620
263,07-05-2019,west,1644
264,14-05-2019,north,1617
265,14-05-2019,south,1761
266,14-05-2019,east,1635
267,14-05-2019,west,1614
268,21-05-2019,north,1515
269,21-05-2019,south,1683
270,21-05-2019,east,1794
271,21-05-2019,west,1533
272,28-05-2019,north,1635
273,28-05-2019,south,1755
274,28-05-2019,east,1560
275,28-05-2019,west,1533
276,04-06-2019,north,1602
277,04-06-2019,south,1704
278,04-06-2019,east,1602
279,04-06-2019,west,1554
280,11-06-2019,north,1635
281,11-06-2019,south,1563
282,11-06-2019,east,1785
283,11-06-2019,west,1521
284,18-06-2019,north,1767
285,18-06-2019,south,1614
286,18-06-2019,east,1776
287,18-06-2019,west,1728
288,25-06-2019,north,1611
289,25-06-2019,south,1797
290,25-06-2019,east,1623
291,25-06-2019,west,1776
292,02-07-2019,north,1656
293,02-07-2019,south,1566
294,02-07-2019,east,1686
295,02-07-2019,west,1677
296,09-07-2019,north,1605
297,09-07-2019,south,1686
298,09-07-2019,east,1794
299,09-07-2019,west,1713
300,16-07-2019,north,1518
301,16-07-2019,south,1761
302,16-07-2019,east,1539
303,16-07-2019,west,1614
304,23-07-2019,north,1770
305,23-07-2019,south,1734
306,23-07-2019,east,1707
307,23-07-2019,west,1620
308,30-07-2019,north,1764
309,30-07-2019,south,1512
310,30-07-2019,east,1701
311,30-07-2019,west,1797
312,06-08-2019,north,1521
313,06-08-2019,south,1713
314,06-08-2019,east,1761
315,06-08-2019,west,1557
316,13-08-2019,north,1701
317,13-08-2019,south,1677
318,13-08-2019,east,1533
319,13-08-2019,west,1587
320,20-08-2019,north,1671
321,20-08-2019,south,1656
322,20-08-2019,east,1536
323,20-08-2019,west,1800
324,27-08-2019,north,1644
325,27-08-2019,south,1674
326,27-08-2019,east,1665
327,27-08-2019,west,1755
328,03-09-2019,north,1716
329,03-09-2019,south,1569
330,03-09-2019,east,1725
331,03-09-2019,west,1542
332,10-09-2019,north,1617
333,10-09-2019,south,1764
334,10-09-2019,east,1632
335,10-09-2019,west,1506
336,17-09-2019,north,1656
337,17-09-2019,south,1530
338,17-09-2019,east,1695
339,17-09-2019,west,1656
340,24-09-2019,north,1767
341,24-09-2019,south,1755
342,24-09-2019,east,1602
343,24-09-2019,west,1524
344,01-10-2019,north,1707
345,01-10-2019,south,1554
346,01-10-2019,east,1632
347,01-10-2019,west,1584
348,08-10-2019,north,1599
349,08-10-2019,south,1539
350,08-10-2019,east,1611
351,08-10-2019,west,1605
352,15-10-2019,north,1782
353,15-10-2019,south,1587
354,15-10-2019,east,1638
355,15-10-2019,west,1752
356,22-10-2019,north,1515
357,22-10-2019,south,1734
358,22-10-2019,east,1551
359,22-10-2019,west,1713
360,29-10-2019,north,1542
361,29-10-2019,south,1692
362,29-10-2019,east,1719
363,29-10-2019,west,1512
364,05-11-2019,north,1500
365,05-11-2019,south,1668
366,05-11-2019,east,1758
367,05-11-2019,west,1533
368,12-11-2019,north,1701
369,12-11-2019,south,1767
370,12-11-2019,east,1632
371,12-11-2019,west,1704
372,19-11-2019,north,1791
373,19-11-2019,south,1779
374,19-11-2019,east,1641
375,19-11-2019,west,1617
376,26-11-2019,north,1599
377,26-11-2019,south,1500
378,26-11-2019,east,1518
379,26-11-2019,west,1584
380,03-12-2019,north,1791
381,03-12-2019,south,1761
382,03-12-2019,east,1749
383,03-12-2019,west,1626
384,10-12-2019,north,1506
385,10-12-2019,south,1503
386,10-12-2019,east,1521
387,10-12-2019,west,1713
388,17-12-2019,north,1518
389,17-12-2019,south,1749
390,17-12-2019,east,1689
391,17-12-2019,west,1533
392,24-12-2019,north,1620
393,24-12-2019,south,1716
394,24-12-2019,east,1674
395,24-12-2019,west,1686
396,31-12-2019,north,1581
397,31-12-2019,south,1713
398,31-12-2019,east,1533
399,31-12-2019,west,1692
400,07-01-2020,north,1560
401,07-01-2020,south,1581
402,07-01-2020,east,1677
403,07-01-2020,west,1599
404,14-01-2020,north,1566
405,14-01-2020,south,1575
406,14-01-2020,east,1566
407,14-01-2020,west,1578
408,21-01-2020,north,1647
409,21-01-2020,south,1776
410,21-01-2020,east,1719
411,21-01-2020,west,1578
412,28-01-2020,north,1689
413,28-01-2020,south,1773
414,28-01-2020,east,1647
415,28-01-2020,west,1503
416,04-02-2020,north,1563
417,04-02-2020,south,1755
418,04-02-2020,east,1659
419,04-02-2020,west,1575
420,11-02-2020,north,1791
421,11-02-2020,south,1638
422,11-02-2020,east,1716
423,11-02-2020,west,1788
424,18-02-2020,north,1668
425,18-02-2020,south,1620
426,18-02-2020,east,1704
427,18-02-2020,west,1683
428,25-02-2020,north,1656
429,25-02-2020,south,1722
430,25-02-2020,east,1566
431,25-02-2020,west,1548
432,03-03-2020,north,1632
433,03-03-2020,south,1548
434,03-03-2020,east,1623
435,03-03-2020,west,1506
436,10-03-2020,north,1644
437,10-03-2020,south,1653
438,10-03-2020,east,1797
439,10-03-2020,west,1740
440,17-03-2020,north,1701
441,17-03-2020,south,1701
442,17-03-2020,east,1794
443,17-03-2020,west,1509
444,24-03-2020,north,1548
445,24-03-2020,south,1662
446,24-03-2020,east,1740
447,24-03-2020,west,1572
448,31-03-2020,north,1794
449,31-03-2020,south,1635
450,31-03-2020,east,1572
451,31-03-2020,west,1629
452,07-04-2020,north,1752
453,07-04-2020,south,1686
454,07-04-2020,east,1500
455,07-04-2020,west,1785
456,14-04-2020,north,1521
457,14-04-2020,south,1593
458,14-04-2020,east,1644
459,14-04-2020,west,1587
460,21-04-2020,north,1755
461,21-04-2020,south,1521
462,21-04-2020,east,1629
463,21-04-2020,west,1686
464,28-04-2020,north,1788
465,28-04-2020,south,1749
466,28-04-2020,east,1581
467,28-04-2020,west,1524
468,05-05-2020,north,1587
469,05-05-2020,south,1674
470,05-05-2020,east,1500
471,05-05-2020,west,1686
472,12-05-2020,north,1500
473,12-05-2020,south,1791
474,12-05-2020,east,1614
475,12-05-2020,west,1695
476,19-05-2020,north,1641
477,19-05-2020,south,1713
478,19-05-2020,east,1515
479,19-05-2020,west,1602
480,26-05-2020,north,1545
481,26-05-2020,south,1530
482,26-05-2020,east,1758
483,26-05-2020,west,1656
484,02-06-2020,north,1677
485,02-06-2020,south,1794
486,02-06-2020,east,1800
487,02-06-2020,west,1767
488,09-06-2020,north,1503
489,09-06-2020,south,1569
490,09-06-2020,east,1572
491,09-06-2020,west,1593
492,16-06-2020,north,1668
493,16-06-2020,south,1620
494,16-06-2020,east,1695
495,16-06-2020,west,1638
496,23-06-2020,north,1767
497,23-06-2020,south,1581
498,23-06-2020,east,1770
499,23-06-2020,west,1758
500,30-06-2020,north,1794
501,30-06-2020,south,1572
502,30-06-2020,east,1668
503,30-06-2020,west,1647
504,07-07-2020,north,1500
505,07-07-2020,south,1791
506,07-07-2020,east,1656
507,07-07-2020,west,1743
508,14-07-2020,north,1557
509,14-07-2020,south,1515
510,14-07-2020,east,1695
511,14-07-2020,west,1500
512,21-07-2020,north,1572
513,21-07-2020,south,1767
514,21-07-2020,east,1689
515,21-07-2020,west,1734
516,28-07-2020,north,1800
517,28-07-2020,south,1506
518,28-07-2020,east,1608
519,28-07-2020,west,1581
520,04-08-2020,north,1539
521,04-08-2020,south,1659
522,04-08-2020,east,1602
523,04-08-2020,west,1719
524,11-08-2020,north,1632
525,11-08-2020,south,1620
526,11-08-2020,east,1551
527,11-08-2020,west,1557
528,18-08-2020,north,1761
529,18-08-2020,south,1566
530,18-08-2020,east,1692
531,18-08-2020,west,1563
532,25-08-2020,north,1545
533,25-08-2020,south,1755
534,25-08-2020,east,1605
535,25-08-2020,west,1548
536,01-09-2020,north,1797
537,01-09-2020,south,1704
538,01-09-2020,east,1539
539,01-09-2020,west,1617
540,08-09-2020,north,1710
541,08-09-2020,south,1536
542,08-09-2020,east,1539
543,08-09-2020,west,1512
544,15-09-2020,north,1542
545,15-09-2020,south,1782
546,15-09-2020,east,1620
547,15-09-2020,west,1641
548,22-09-2020,north,1776
549,22-09-2020,south,1629
550,22-09-2020,east,1539
551,22-09-2020,west,1563
552,29-09-2020,north,1674
553,29-09-2020,south,1728
554,29-09-2020,east,1551
555,29-09-2020,west,1641
556,06-10-2020,north,1788
557,06-10-2020,south,1503
558,06-10-2020,east,1779
559,06-10-2020,west,1563
560,13-10-2020,north,1578
561,13-10-2020,south,1638
562,13-10-2020,east,1515
563,13-10-2020,west,1683
564,20-10-2020,north,1569
565,20-10-2020,south,1758
566,20-10-2020,east,1758
567,20-10-2020,west,1614
568,27-10-2020,north,1581
569,27-10-2020,south,1716
570,27-10-2020,east,1683
571,27-10-2020,west,1518
572,03-11-2020,north,1551
573,03-11-2020,south,1752
574,03-11-2020,east,1746
575,03-11-2020,west,1581
576,10-11-2020,north,1638
577,10-11-2020,south,1734
578,10-11-2020,east,1695
579,10-11-2020,west,1638
580,17-11-2020,north,1686
581,17-11-2020,south,1521
582,17-11-2020,east,1734
583,17-11-2020,west,1530
584,24-11-2020,north,1602
585,24-11-2020,south,1632
586,24-11-2020,east,1743
587,24-11-2020,west,1617
588,01-12-2020,north,1587
589,01-12-2020,south,1719
590,01-12-2020,east,1620
591,01-12-2020,west,1656
592,08-12-2020,north,1686
593,08-12-2020,south,1785
594,08-12-2020,east,1800
595,08-12-2020,west,1590
596,15-12-2020,north,1785
597,15-12-2020,south,1734
598,15-12-2020,east,1578
599,15-12-2020,west,1596
600,22-12-2020,north,1518
601,22-12-2020,south,1677
602,22-12-2020,east,1722
603,22-12-2020,west,1566
604,29-12-2020,north,1518
605,29-12-2020,south,1677
606,29-12-2020,east,1614
607,29-12-2020,west,1767
608,05-01-2021,north,1536
609,05-01-2021,south,1578
610,05-01-2021,east,1683
611,05-01-2021,west,1608
612,12-01-2021,north,1614
613,12-01-2021,south,1572
614,12-01-2021,east,1539
615,12-01-2021,west,1605
616,19-01-2021,north,2335
617,19-01-2021,south,2105
618,19-01-2021,east,2340
619,19-01-2021,west,2420
620,26-01-2021,north,2050
621,26-01-2021,south,2280
622,26-01-2021,east,2165
623,26-01-2021,west,2345
624,02-02-2021,north,2315
625,02-02-2021,south,2100
626,02-02-2021,east,2430
627,02-02-2021,west,2215
628,09-02-2021,north,2045
629,09-02-2021,south,2345
630,09-02-2021,east,2455
631,09-02-2021,west,2260
632,16-02-2021,north,2295
633,16-02-2021,south,2250
634,16-02-2021,east,2180
635,16-02-2021,west,2465
636,23-02-2021,north,2490
637,23-02-2021,south,2370
638,23-02-2021,east,2055
639,23-02-2021,west,2380
640,02-03-2021,north,2370
641,02-03-2021,south,2300
642,02-03-2021,east,2215
643,02-03-2021,west,2225
644,09-03-2021,north,2380
645,09-03-2021,south,2000
646,09-03-2021,east,2180
647,09-03-2021,west,2365
648,16-03-2021,north,2365
649,16-03-2021,south,2500
650,16-03-2021,east,2235
651,16-03-2021,west,2480
652,23-03-2021,north,2470
653,23-03-2021,south,2240
654,23-03-2021,east,2155
655,23-03-2021,west,2005
656,30-03-2021,north,2090
657,30-03-2021,south,2390
658,30-03-2021,east,2410
659,30-03-2021,west,2035
660,06-04-2021,north,2440
661,06-04-2021,south,2435
662,06-04-2021,east,2255
663,06-04-2021,west,2260
664,13-04-2021,north,2115
665,13-04-2021,south,2380
666,13-04-2021,east,2195
667,13-04-2021,west,2325
668,20-04-2021,north,2290
669,20-04-2021,south,2115
670,20-04-2021,east,2110
671,20-04-2021,west,2395
672,27-04-2021,north,2095
673,27-04-2021,south,2010
674,27-04-2021,east,2245
675,27-04-2021,west,2245
676,04-05-2021,north,2270
677,04-05-2021,south,2425
678,04-05-2021,east,2415
679,04-05-2021,west,2065
680,11-05-2021,north,2120
681,11-05-2021,south,2165
682,11-05-2021,east,2175
683,11-05-2021,west,2190
684,18-05-2021,north,2185
685,18-05-2021,south,2455
686,18-05-2021,east,2270
687,18-05-2021,west,2415
688,25-05-2021,north,2020
689,25-05-2021,south,2105
690,25-05-2021,east,2295
691,25-05-2021,west,2005
692,01-06-2021,north,2140
693,01-06-2021,south,2450
694,01-06-2021,east,2055
695,01-06-2021,west,2215
696,08-06-2021,north,2290
697,08-06-2021,south,2035
698,08-06-2021,east,2450
699,08-06-2021,west,2120
700,15-06-2021,north,2090
701,15-06-2021,south,2075
702,15-06-2021,east,2125
703,15-06-2021,west,2085
704,22-06-2021,north,2280
705,22-06-2021,south,2010
706,22-06-2021,east,2095
707,22-06-2021,west,2270
708,29-06-2021,north,2155
709,29-06-2021,south,2135
710,29-06-2021,east,2280
711,29-06-2021,west,2485
712,06-07-2021,north,2430
713,06-07-2021,south,2125
714,06-07-2021,east,2235
715,06-07-2021,west,2175
716,13-07-2021,north,2145
717,13-07-2021,south,2105
718,13-07-2021,east,2265
719,13-07-2021,west,2020
720,20-07-2021,north,2435
721,20-07-2021,south,2380
722,20-07-2021,east,2445
723,20-07-2021,west,2390
724,27-07-2021,north,2440
725,27-07-2021,south,2315
726,27-07-2021,east,2080
727,27-07-2021,west,2450
728,03-08-2021,north,2350
729,03-08-2021,south,2075
730,03-08-2021,east,2250
731,03-08-2021,west,2315
732,10-08-2021,north,2295
733,10-08-2021,south,2180
734,10-08-2021,east,2075
735,10-08-2021,west,2375
736,17-08-2021,north,2395
737,17-08-2021,south,2475
738,17-08-2021,east,2360
739,17-08-2021,west,2175
740,24-08-2021,north,2215
741,24-08-2021,south,2475
742,24-08-2021,east,2265
743,24-08-2021,west,2030
744,31-08-2021,north,2045
745,31-08-2021,south,2440
746,31-08-2021,east,2165
747,31-08-2021,west,2180
748,07-09-2021,north,2040
749,07-09-2021,south,2055
750,07-09-2021,east,2270
751,07-09-2021,west,2335
752,14-09-2021,north,2260
753,14-09-2021,south,2385
754,14-09-2021,east,2280
755,14-09-2021,west,2210
756,21-09-2021,north,2395
757,21-09-2021,south,2395
758,21-09-2021,east,2445
759,21-09-2021,west,2295
760,28-09-2021,north,2070
761,28-09-2021,south,2085
762,28-09-2021,east,2435
763,28-09-2021,west,2115
764,05-10-2021,north,2425
765,05-10-2021,south,2255
766,05-10-2021,east,2145
767,05-10-2021,west,2000
768,12-10-2021,north,2105
769,12-10-2021,south,2105
770,12-10-2021,east,2065
771,12-10-2021,west,2005
772,19-10-2021,north,2085
773,19-10-2021,south,2275
774,19-10-2021,east,2220
775,19-10-2021,west,2395
776,26-10-2021,north,2410
777,26-10-2021,south,2490
778,26-10-2021,east,2250
779,26-10-2021,west,2220
780,02-11-2021,north,2405
781,02-11-2021,south,2120
782,02-11-2021,east,2195
783,02-11-2021,west,2025
784,09-11-2021,north,2165
785,09-11-2021,south,2000
786,09-11-2021,east,2435
787,09-11-2021,west,2250
788,16-11-2021,north,2485
789,16-11-2021,south,2225
790,16-11-2021,east,2315
791,16-11-2021,west,2300
792,23-11-2021,north,2075
793,23-11-2021,south,2450
794,23-11-2021,east,2280
795,23-11-2021,west,2220
796,30-11-2021,north,2265
797,30-11-2021,south,2035
798,30-11-2021,east,2480
799,30-11-2021,west,2390
800,07-12-2021,north,2090
801,07-12-2021,south,2165
802,07-12-2021,east,2300
803,07-12-2021,west,2400
804,14-12-2021,north,2360
805,14-12-2021,south,2420
806,14-12-2021,east,2370
807,14-12-2021,west,2335
808,21-12-2021,north,2330
809,21-12-2021,south,2075
810,21-12-2021,east,2355
811,21-12-2021,west,2355
812,28-12-2021,north,2245
813,28-12-2021,south,2120
814,28-12-2021,east,2415
815,28-12-2021,west,2295
816,04-01-2022,north,2405
817,04-01-2022,south,2020
818,04-01-2022,east,2010
819,04-01-2022,west,2005
820,11-01-2022,north,2000
821,11-01-2022,south,2075
822,11-01-2022,east,2305
823,11-01-2022,west,2145
824,18-01-2022,north,2045
825,18-01-2022,south,2125
826,18-01-2022,east,2085
827,18-01-2022,west,2095
828,25-01-2022,north,2470
829,25-01-2022,south,2370
830,25-01-2022,east,2110
831,25-01-2022,west,2480
832,01-02-2022,north,2405
833,01-02-2022,south,2310
834,01-02-2022,east,2405
835,01-02-2022,west,2420
836,08-02-2022,north,2375
837,08-02-2022,south,2360
838,08-02-2022,east,2430
839,08-02-2022,west,2330
840,11-06-2019,north,1635
841,11-06-2019,south,1563
842,11-06-2019,east,1785
843,11-06-2019,west,1521
844,12-06-2019,north,1728
845,12-06-2019,south,1515
846,12-06-2019,east,1548
847,12-06-2019,west,1677
848,13-06-2019,north,1587
849,13-06-2019,south,1719
850,13-06-2019,east,1587
851,13-06-2019,west,1773
852,14-06-2019,north,1557
853,14-06-2019,south,1680
854,14-06-2019,east,1773
855,14-06-2019,west,1509
856,15-06-2019,north,1602
857,15-06-2019,south,1794
858,15-06-2019,east,1764
859,15-06-2019,west,1785
860,16-06-2019,north,1662
861,16-06-2019,south,1563
862,16-06-2019,east,1671
863,16-06-2019,west,1533
864,17-06-2019,north,1587
865,17-06-2019,south,1512
866,17-06-2019,east,1536
867,17-06-2019,west,1566
868,18-06-2019,north,1767
869,18-06-2019,south,1614
870,18-06-2019,east,1776
871,18-06-2019,west,1728
872,19-06-2019,north,1614
873,19-06-2019,south,1572
874,19-06-2019,east,1614
875,19-06-2019,west,1734
876,20-06-2019,north,1566
877,20-06-2019,south,1632
878,20-06-2019,east,1785
879,20-06-2019,west,1770
880,21-06-2019,north,1725
881,21-06-2019,south,1542
882,21-06-2019,east,1677
883,21-06-2019,west,1533
884,22-06-2019,north,1578
885,22-06-2019,south,1713
886,22-06-2019,east,1776
887,22-06-2019,west,1515
888,23-06-2019,north,1587
889,23-06-2019,south,1770
890,23-06-2019,east,1773
891,23-06-2019,west,1671
892,24-06-2019,north,1704
893,24-06-2019,south,1545
894,24-06-2019,east,1671
895,24-06-2019,west,1800
896,25-06-2019,north,1611
897,25-06-2019,south,1797
898,25-06-2019,east,1623
899,25-06-2019,west,1776
900,26-06-2019,north,1677
901,26-06-2019,south,1800
902,26-06-2019,east,1794
903,26-06-2019,west,1686
904,27-06-2019,north,1671
905,27-06-2019,south,1635
906,27-06-2019,east,1740
907,27-06-2019,west,1671
908,28-06-2019,north,1671
909,28-06-2019,south,1770
910,28-06-2019,east,1773
911,28-06-2019,west,1581
912,29-06-2019,north,1533
913,29-06-2019,south,1650
914,29-06-2019,east,1536
915,29-06-2019,west,1548
916,30-06-2019,north,1785
917,30-06-2019,south,1614
918,30-06-2019,east,1569
919,30-06-2019,west,1800
920,01-07-2019,north,1644
921,01-07-2019,south,1659
922,01-07-2019,east,1659
923,01-07-2019,west,1644
924,02-07-2019,north,1656
925,02-07-2019,south,1566
926,02-07-2019,east,1686
927,02-07-2019,west,1677
928,03-07-2019,north,1770
929,03-07-2019,south,1689
930,03-07-2019,east,1704
931,03-07-2019,west,1800
932,04-07-2019,north,1782
933,04-07-2019,south,1746
934,04-07-2019,east,1527
935,04-07-2019,west,1581
936,05-07-2019,north,1518
937,05-07-2019,south,1554
938,05-07-2019,east,1548
939,05-07-2019,west,1533
940,06-07-2019,north,1791
941,06-07-2019,south,1578
942,06-07-2019,east,1779
943,06-07-2019,west,1704
944,07-07-2019,north,1587
945,07-07-2019,south,1593
946,07-07-2019,east,1644
947,07-07-2019,west,1680
948,08-07-2019,north,1614
949,08-07-2019,south,1704
950,08-07-2019,east,1797
951,08-07-2019,west,1770
952,09-07-2019,north,1605
953,09-07-2019,south,1686
954,09-07-2019,east,1794
955,09-07-2019,west,1713
956,10-07-2019,north,1755
957,10-07-2019,south,1500
958,10-07-2019,east,1632
959,10-07-2019,west,1800
960,11-07-2019,north,1800
961,11-07-2019,south,1650
962,11-07-2019,east,1704
963,11-07-2019,west,1590
964,12-07-2019,north,1779
965,12-07-2019,south,1554
966,12-07-2019,east,1635
967,12-07-2019,west,1608
968,13-07-2019,north,1791
969,13-07-2019,south,1779
970,13-07-2019,east,1527
971,13-07-2019,west,1689
972,14-07-2019,north,1782
973,14-07-2019,south,1662
974,14-07-2019,east,1620
975,14-07-2019,west,1692
976,15-07-2019,north,1551
977,15-07-2019,south,1620
978,15-07-2019,east,1725
979,15-07-2019,west,1602
980,16-07-2019,north,1518
981,16-07-2019,south,1761
982,16-07-2019,east,1539
983,16-07-2019,west,1614
984,17-07-2019,north,1548
985,17-07-2019,south,1551
986,17-07-2019,east,1722
987,17-07-2019,west,1662
988,18-07-2019,north,1509
989,18-07-2019,south,1773
990,18-07-2019,east,1767
991,18-07-2019,west,1581
992,19-07-2019,north,1626
993,19-07-2019,south,1734
994,19-07-2019,east,1761
995,19-07-2019,west,1659
996,20-07-2019,north,1638
997,20-07-2019,south,1539
